career_label,skills
buyer,
mechanic,management
secondary physics teacher,excel
bolt – broadcast ops learning track,
manufacturing control systems engineer,
field marketer,
campus hire - manufacturing control systems engineer,
"lead, qa engineer","java, management"
sap transport/wm specialist,"excel, communication, management"
hull engineer,"excel, communication"
marine coordinator,"excel, communication, management"
marine installation engineer,"excel, communication"
flow assurance engineer,"excel, communication, management"
senior pipeline engineer,"excel, communication, management, project management"
corrosion engineer / material engineer,"excel, management"
qa/qc engineer,"excel, communication, management, aws"
interface engineer,"excel, communication, management, project management"
topside engineer,"excel, communication, management, project management"
project planning / scheduling engineer,"excel, communication, management, project management"
marketing specialist,communication
logistics & operations officer,"excel, communication, management"
accounting officer,"excel, communication"
mes software engineer,"java, sql, management"
senior .net developer,"sql, excel, communication, management"
medical digital platform trainer apac,
marine service coordinator apr,"communication, management"
"coordinator, market reputation (events)",management
hardware environment artist,"excel, communication"
veterinary nurse,
accounts executive,"sql, excel, communication"
general ledger specialist (global business services),
outdoor photographer,
it intern - start date october 2025,
vice president - malaysia,"excel, communication"
sale asistant,"excel, communication, management"
warehouse asistant cum driver gdl,"excel, communication, management"
senior digital hardware design engineer,"python, excel"
audit and tax executive,
stock inventory control,"excel, communication, management"
branch manager,management
cdd specialist,"excel, communication, management"
client centre executive,"excel, communication, management"
"sr. assoc, backend eng, wrb tech","java, communication"
assistant quantity surveyor,"excel, communication, management, project management"
"safety, health and environment manager",management
production planning & control manager,"excel, communication, management"
service engineer (pg division),"communication, management"
admissions executive,"communication, management"
m&e engineer,
f&b management trainee,"excel, communication, management"
sales & service engineer (johor),"excel, communication"
it technician,communication
fashion retail sales supervisor,"communication, management"
mis assistant,"excel, data analysis, communication, management"
club manager,"communication, management"
tech lead (ai & machine learning),"python, excel, machine learning, communication, aws, azure, tensorflow, pytorch"
preschool manager / principal,"communication, management"
junior back end developer (php laravel),"python, sql"
estate chief clerk/account clerk (based in papua new guinea),"excel, communication, management"
quality assurance / quality control,"sql, excel, communication"
"training executive (subang jaya, selangor)","excel, communication"
pharmacy technician,
ai automation engineer,"python, machine learning, aws, azure"
account assistant,management
operations executive,
client success executive (field customer success),"communication, management"
medical sales representative,"communication, management"
business development manager (direct selling),"excel, communication, management"
"executive, business development","excel, communication, management"
walk-in interview : pharmacy technician,
assistant sales manager/mortgage advisor - johor,"excel, communication"
admin,management
book editor (english),excel
lab assistant,
e-commerce packer,"excel, communication, management"
dentist,"excel, communication"
assistant marketing manager,"excel, communication"
internal control assistant manager,"communication, management"
"internship for epension operations students - up to rm2,000","excel, communication, management"
branch manager,management
senior p2p manager,"communication, management, aws"
admin cum customer service,"excel, communication, management"
logistics & warehouse senior executive/assistant manager,"excel, data analysis, management"
it & data regional cybersecurity manager,management
account executive,management
"storekeeper, kolombong","excel, communication, management"
operation executive,management
walk-in interview : pharmacist (clinical / operation),
old folks caregiver,
"executive, internal control (hk support, epension)","excel, communication"
operation manager,management
company driver,
facilities technician - sewage treatment plant (flex senai),"communication, management"
senior project manager (high rise project),"communication, management"
key account manager,management
"assistant manager, epension operations (hk support)","excel, communication"
"intern, fresh, programmer, personal assistant (it, computer sc)","java, sql"
tax assistant,aws
digital marketer,"communication, management"
account clerk cum admin,
video editor cum illustrator / dtp artist,
insurance renewal specialist,communication
audit assitant,
sales admin,"excel, communication, management"
sourcing executive,"excel, communication, management"
"executive, compliance and quality assurance (hk support, epension)","excel, communication, management"
electrical engineer,"excel, communication"
automation design engineer,
it infra internship (system engineer) - rm2000 for top students,"excel, docker"
business development engineer,"management, project management"
hr intern,communication
audit associate,
business development executive,communication
solar system designer,
it infra internship (desktop support) - rm2000 for top students,
treasury & financing specialist greater china,management
senior finance executive,management
operations assistant (forklift driver),"communication, management"
electronic & software technician,"python, communication, management"
production engineer,"excel, communication"
general worker,communication
global commodity manager,"excel, communication"
"assistant manager, business development (it industry)","excel, communication, management"
sales assistant,excel
maintenance coordinator,communication
p2p specialist reporting & analysis,"sql, excel, communication, management"
admin intern,"excel, communication"
admin,
service excellence manager,"management, project management"
i2c lead,"excel, management"
senior contract executive,"excel, communication, management"
production operator,"excel, communication, management"
public relations executive,
sales & marketing (trainee/ internship student),"excel, communication"
tax manager,management
electrical technician,"excel, communication"
site engineer/ site supervisor,management
walk-in interview : radiographer,
customer quality engineer (cqe),excel
medical officer,management
warehouse assistant based in miri,communication
admin executive,"communication, aws"
hr executive,"excel, communication, management"
linux kernel engineer,management
quantity surveyor,"excel, communication"
admin,"excel, communication, management"
java developer,"java, sql, excel"
senior tax manager,"management, project management"
purchasing & admin executive,"sql, communication, management"
production operator (malaysians only),communication
internship - e-commerce admin & marketing,
senior marketing content creator (beauty & aesthetic),"excel, communication, management, project management"
"payroll consultant, anz payroll outsourcing",excel
sale executive,
admin executive,"excel, communication, management"
customer service admin,"communication, management"
mis executive,"excel, communication, management"
sites supervisor,
senior reservations executive (urgent hiring),"excel, management"
engineering drafter,
store executive,"sql, excel, communication, management"
social media & content creator,communication
senior legal executive,management
labuan shipyard & engineering protégé programme,
semiconductor product development engineer (open) (nand),"python, excel, communication, management"
quantity surveyor,"excel, communication, management"
driver,aws
test technician ii- electronics integration and testing,data analysis
"executive, global legal, risk and compliance services (group services)","excel, management"
account clerk,sql
e-commerce admin clerk,"communication, management"
hr & account executive [immediate hiring],"excel, communication, management, aws"
senior estate manager/estate manager (oil palm) based in papua new guinea,"communication, management"
kitchen helper cafe,
content creator — marketing department,"communication, management"
construction manager / senior construction executive,excel
senior / head creative director,"excel, communication, management, project management"
internship (quality),
ict executive,communication
staff nurse (ward),"communication, management"
"sr. engineer, data science","python, sql, excel, machine learning, communication"
english language teacher,"communication, management"
site supervisor,"excel, communication"
senior accounts executive/account executive,"excel, management"
assistant manager information technology (it),"communication, management, project management, aws, azure"
customer service officer,
walk-in interview : business office assistant (shift work),communication
marketing & event executive,
senior it executive,
engineer - central strategic planning,management
ex cruise crew for training,communication
account manager (food & nutrition),communication
product innovation & development chemist,"management, project management"
playmate / retail associate,excel
inventory management executive,"excel, communication, management"
smart manufacturing data scientist,"python, java, sql, machine learning, data analysis, statistics, communication, tensorflow"
"staff engineer, process engineering","excel, communication"
electrical engineer (project) 工程师,management
walk-in interview : staff nurse (clinical research),
hotel manager,"excel, management"
head of account and finance,"sql, excel, communication, management"
electrical technician / foreman,
steam engineer / mill engineer (palm oil industry),"excel, communication"
mechanical design engineer,communication
relationship manager (cimb@work) - klang valley,management
sales and marketing executive,"excel, data analysis"
construction manager（has experience in stadium construction）,"communication, management"
warehouse team lead,"communication, management"
relationship manager (cimb@work) - malacca,management
"senior engineer, gq ops industrial engineering and system (open)","sql, excel, communication, management"
counter sales,"excel, communication"
account assistant - malaysia,"excel, communication, management"
senior financial analyst,"excel, communication"
executive (logistic / supply chain),management
officer - purchasing,excel
ev hybrid trainer executive,"communication, management"
chinese speaking customer experience specialist (remote in malaysia),"excel, management"
medical laboratory technologist,
senior java developer,"java, sql, aws"
strategic sourcing / commodity lead#mnc penang（id:687505),"excel, communication, management, project management"
creative graphic designer,communication
technician (system engineering / mes),"excel, communication, management"
product manager – enterprise network/surveillance,"communication, management"
patent executive,"communication, management"
account executive/account assistant,sql
site supervisor (contract),"excel, communication, management"
sales executive (printing),communication
internships (legal / finance / marketing / data / business administration),excel
admin / account support (会计文员),excel
senior engineer (civil engineering),communication
csa quantity surveyor,"excel, management"
executive - accounts payable,"excel, communication"
digital marketing - tiktok content creation,
pharma product development assistant manager,"excel, communication, management"
"officer, compliance","excel, management"
customer support officer,"excel, communication, management"
sales executive - sarawak (serian),"excel, communication, management"
driver,
account assistant cum admin,"excel, communication, management"
compensation & benefit specialist,"excel, communication"
branch manager,"excel, management"
qms executive,"excel, management"
marine consultant,"excel, communication"
administrative assistant,excel
legal manager,"excel, communication, management"
3d modeler/drafter - malaysia,
accounts,"excel, management"
internship for production maintenance,management
lathe fabrication machinist expert,
audit senior / semi-senior,communication
assistant architect (part 1) / graduate architect (part 2),"communication, management"
"internship intake: hr, b. admin, electrical & industrial hygiene",management
internship for safety & health,"excel, communication, management"
data analyst / risk analyst,"python, sql, excel, data analysis, statistics, communication, management"
electrician wiring specialist,management
credit management executive (ar collections),"excel, communication, management"
grinding technical specialist,
office admin,excel
assistant restaurant manager,management
corporate secretarial executive,"communication, management"
assembler,management
internship for supply chain,"excel, management"
assistant cook,management
senior pid chemist,excel
hr executive,"excel, management, aws"
fabrication design specialist,
sales assistant at grand senq datum jelatek,
fabrication superintendent,
ev hybrid technician - continental cars,
mobile application developer (flutter),java
application developer,"java, sql, excel, communication, management, project management, aws"
internship for hr & admin,management
precision grinding specialist,
walk-in interview : staff nurse (icu/ot/a&e/midwife),communication
field officer – loan recovery (penang/johor) (id: 12440),"excel, communication, management"
account executive,management
mechanical fabrication specialist,
leasing executive,communication
trainee clerk,
technician quality management system,
internship for quality,"excel, communication"
digital marketing assistant manager,"excel, data analysis, communication, management, project management"
senior cnc grinding specialist,
compliance executive,"excel, management"
senior hr executive/ executive(recruitment & employee relations),management
site admin,"excel, communication, management, project management"
precision grinding machine specialist,
medical sales representative,"excel, communication"
admin,
sales & marketing executive (fresh graduates encouraged to apply),
recruitment consultant,"excel, communication, management"
research & development manager,
electrical machine specialist,"communication, management"
accounts assistant (uk timezone),"excel, management"
fabrication & welding specialist,aws
video editor / animator,
welding maintenance superintendent,
event manager,"excel, communication, management, project management"
product costing & quotation executive,"excel, data analysis, communication, management"
shipping asisstant,"excel, communication"
cnc surface grinding specialist,
personal driver,excel
qc assistant (nilai),"excel, communication"
ta/secretary,"communication, management"
corporate solution sales 2 assistant director,
grinding milling superintendent,
product specialist/senior product analyst - regional payroll,"sql, management, project management"
account manager,"sql, excel, management"
senior account executive,management
"executive, rewards & hris (payroll)","excel, communication, management"
account executive,
system implementer & tester,"sql, communication, management"
internship (hr/finance/quality/engineering/supply chain/it/hse),"data analysis, management"
cnc milling & fitter specialist,
failure analytical engineer,data analysis
welding machinery specialist,
assistant sales manager,"excel, communication"
"safety, health, and environment (she) officer/manager - data centre project","excel, communication, management, aws"
welder superintendent,management
[february 2026] protégé programme - head office,management
welding automation specialist,"management, project management"
architect supervisor (chinese speaker),management
unit trust consultant (full / part time),
fabrication technical specialist,
management trainee,"excel, communication, management, project management"
walk-in interview : diet assistant,"excel, communication, management"
[february 2026] protégé programme - upstream corporate,management
mig welding specialist,
account executive,"excel, communication, management, aws"
milling machine specialist,
commercial manager (platform biz),"communication, management"
marketing specialist (e-commerce),"communication, management"
certification authority (ca) engineer,"excel, management"
admin executive,"excel, management"
software engineer (javascript),"java, sql, communication, aws, azure"
payroll executive (senior/junior),"excel, communication, management"
welding engineering specialist,
devops engineer,"python, management, aws"
barista,
retail inventory supervisor - suria sabah,"communication, management"
precision mould grinding specialist,
business/system analyst,management
business development executive,
cnc turning machining specialist,
"senior lecturer (economics, marketing, statistics/actuarial science)","excel, statistics, communication, management"
precision surface grinding specialist,
internship for admin & account ( mandarin speaker ),excel
operation executive,"communication, management"
mechanic,
cnc machine programmer specialist,
conveyancing lawyer / clerk,aws
precision carbide grinding specialist,
"assistant manager, wms (warehouse management system)","excel, communication, management"
supply chain execution executive,"excel, data analysis, communication, management"
sales admin,excel
photographer crew (theme park),
precision mechanical fitter specialist,
collections specialist | onsite | kuala lumpur | day shift | weekends off,"excel, communication, management"
branch manager,"excel, communication, management"
eksekutif kanan komunikasi strategik & pemasaran (media sosial & digital),
car maintenance assistant,
boutique sales advisor,"excel, communication"
facility/maintenance executive,"excel, management"
clerk of work,"communication, management"
theme park photographer,
senior accounts executive,"excel, communication, management"
litigation lawyer,"communication, management"
video editor (events | weddings | corporate),excel
assistant project engineer,"excel, communication"
e-commerce admin,"excel, management"
technician,
accountant,"excel, communication, management"
(#5 days work)-branch manager,management
marketing cum sales,excel
administrative executive,"excel, communication, management"
inside sales specialist | hong kong market,"excel, communication, management"
senior sales engineer,"excel, communication"
senior manager - quality assurance (operations),"excel, management"
"senior/analyst, accounts payable and travel & expense",communication
event photographer (events | weddings | corporate),"excel, communication"
art director,"management, project management"
online sales executive,communication
protege programme 2025 (klang valley & johor),management
walk-in interview : credit control executive,"communication, management"
group finance manager,"excel, management"
"agent, air import operations",communication
site safety supervisor (sss) cum site supervisor,"management, project management"
project coordinator,"excel, management, project management"
engineer - technology (control & instrumentation),"management, project management"
walk-in interview : housekeeping attendant/cleaner,
operations executive,"excel, communication"
buyer,excel
customer service care (work in kl),
internship - quality assurance,excel
pmc executive / supervisor,"excel, communication, management"
customer service executive (vietnamese or thai speaker) - immediate hiring,"excel, communication, management"
"manager, performance & rewards","communication, management"
"specialist, finance reporting (life insurance)","communication, management"
site safety supervisor,communication
accountant,management
site supervisor,"excel, communication, management, project management"
proposal engineer - field services department,communication
customer service executive,"excel, management"
video producer / strategist,"excel, communication"
admin of student admissions department,"excel, communication"
quantity surveyor,
operator,
intern - technician [johor],management
accounts executive (open to fresh graduates),
internship (any engineering and administrative field),"excel, management"
talent acquisition associate (entry level and experienced),"excel, communication, management"
store packer,
talent acquisition specialist,"excel, communication"
medical recruitment & program delivery manager,"excel, communication, management"
assistant architect cum authorities liaison officer,"excel, communication"
[february 2026] protégé programme - sd guthrie international (head office),"excel, management, project management"
sales [executive / senior executive / assistant manager / manager],excel
contract manager,"excel, communication"
marketing executive,"excel, communication, management"
finance assistant,"sql, excel, data analysis, management"
outbound telemarketer (work in singapore intake dec),
group purchasing category manager – indirect material,"excel, communication, management"
admin assistant (assembly),"excel, management"
senior sales engineer,"excel, communication"
sales coordinator (業務助理),"excel, communication"
full time marketing assitant / e-commerce sales executive （pasaran kesihatan）,
technician / prod assistant (hot foil / forming),
tukang masak,
senior project manager cum project planner,"excel, communication, management"
project engineering supervisor,"management, project management"
senior system engineer - scada and plc,sql
account executive cum admin,"excel, management, project management"
sales executive,excel
assistant manager - marketing,"excel, communication, management"
software engineer,communication
trade compliance sr. specialist ( import/ export customs ),"management, aws"
global perspectives teacher (igcse),communication
legal executive - intellectual property / trademark,communication
staff nurse / graduate nurse,communication
marketing manager (f&b),"excel, communication"
graduate architect part 2,"excel, communication"
senior design control & planning executive,communication
operator - mixing,
store clerk,management
mechanical assembly engineer,
senior staff nurse,communication
igcse english teacher,communication
survey/sampler emulator,
sales assistant,communication
walk-in interview : junior cook/cook,
senior technician / engineer,management
store associate / senior store associate,
internship admin assistant,
technician - maintenance,
ipc teacher (igcse) - prep school,"excel, communication, management"
.net full-stack developer (based in melaka/ kuala lumpur),"sql, management"
project manager/assistant project manager (johor based),"communication, management, project management"
account executive (urgent hiring),management
malay teacher (igcse),communication
intern - group it,"communication, management"
technician,
account cum admin,
renewable energy (intern),"communication, management, project management"
mandarin teacher (igcse),communication
electrical maintenance building in kl,excel
pharmacist,"communication, management"
administrative executive,"excel, communication"
pharmacy assistant,
mathematics teacher + singapore mathematics tutor,communication
accounts executive,"excel, communication, management"
sales executive / export sales executive,"excel, communication, management"
finance executive,"excel, communication, management"
district sales representative (shell lubricant),
office assistant （tea lady),
customer service representative,"excel, communication"
pemandu peribadi,
music & arts teacher (igcse),communication
secretary and human resource assistant,communication
clerk cargo,
senior accounts executive (construction),"excel, management"
senior human resource executive,"management, aws"
operation executive,communication
electrical & maintenance engineer,
telemarketing,communication
sales consultant,"excel, communication, management"
pe (igcse) - encourage female,"communication, management"
systems engineer (global support),"communication, management"
senior hr executive,"communication, management"
livestream host (part-time),communication
"associate director ics standards (malaysia, india)",management
accounts executive,
pe (igcse) - prep school,"communication, management"
account assistant,
project coordinator,
"associate, marketing (cantonese required)",excel
fwt technician,"excel, communication"
physics teacher (igcse),communication
administration executive,communication
senior java developer,"java, sql, communication, aws, docker"
hseq executive,"excel, data analysis, communication, management"
supervision teacher (igcse) - prep school,"communication, management"
sales advisor (klang branch),"excel, communication"
sales development representative l high commission,excel
sales consultant,"excel, communication, management"
walk-in interview : front desk (clinical),communication
logistics manager,"excel, communication, management"
production assistance supervisor (metal stamping),management
qa/qc manager,communication
intern - marketing,communication
chocolate gallery manager & chocolate gallery chef,
"mgr, manufacturing integrator","excel, communication"
supply chain planner,management
database administrator,"sql, communication, management"
senior designer cum marketing executive,management
fa technician,management
sales advisor (automotive),
sales executive (wines & spirits) - johor,communication
assistant branding manager (fmcg industry),"communication, management"
pharmacy assistant/sales assistant - georgetown,excel
creative designer,excel
chargeman a4,
research and development exec (food supplements),
account executive,"sql, excel, communication, management"
hr & admin executive/senior executive,"excel, communication, management"
sales executive (open to fresh graduates),"excel, communication, management"
flutter developer,
operation manager,"excel, communication, management"
key account manager (modern trade - fmcg),management
senior site coordinator r&d (project),
iets engineer,"communication, management"
ceo office manager,"communication, management, project management"
sales & business development executive (marketing),"excel, communication, management"
assistant marketing manager,"communication, management, project management"
hse manager,"data analysis, management"
"manager, it store support","excel, communication, management"
software engineer / developer (c#),sql
project executive (qs),
content creator & social media admin,communication
"engineer, project (marine, e&t)","communication, management"
walk-in interview : food & beverage server,communication
outlet manager (johor- sunway kluang mall),excel
senior software engineer (react native),"excel, management, aws"
executive secretary,"excel, communication, management"
bartender,
content creator & social media executive,communication
graphic designer,"excel, communication, management"
key account manager,"excel, communication, management"
lorry driver,
walk-in interview : radiation therapist,
legal clerk,management
human resource executive,"sql, communication, management, aws"
hr assistant/administrative assistant,"excel, communication, management"
retail sales executive,communication
general worker cum runner,
junior digitalmarketing,management
head of pastry chef,management
"assistant general manager, sales & marketing (property development)",management
"sales engineer (solar, elv & smart home solutions)","excel, communication, management, project management"
project manager,"excel, communication, management, project management"
senior site supervisor,
sales assistant,"communication, management"
marketing assistant manager,"excel, communication, management"
government relations manager,"excel, communication, management"
admin assistant 行政助理,"excel, communication, management"
operator,
cnc machining trainer,
intern welder,
welding process engineer,"communication, aws"
technician,aws
qa manager,excel
operation manager ( kitchen cabinet),"excel, management"
cost accountant - finance & operations (manufacturing),"communication, management"
operation coordinator,"excel, communication, management"
sales consultant - bandar baru bangi,
warehouse assistant supervisor,
"manager, central region international marketing (east malaysia)","communication, management"
walk-in interview : clinical instructor (nursing education),
enrolment sales manager (work in singapore),"excel, communication, management"
internship in creative content & marketing,management
hr generalist (talent acquisition & hr operations),"excel, data analysis, communication, management"
"executive, credit control","excel, communication, management"
pharmacist (retail/corporate client),"excel, communication"
chargeman ao,"communication, management"
staff nurse (6 day work week),"excel, communication"
assistant production manager,"excel, data analysis, management"
"assistant manager, marketing",management
senior sales executive,communication
marketing executive,"excel, communication"
welding inspector,communication
production planner / material planner ( mandarin required),"excel, communication, management"
deputy chief financial officer (deputy cfo),"excel, communication, management, aws"
head of school (preschool),"excel, communication, management"
general clerk,management
logistic customer support,management
supervisor (stamping & plastic molding),"excel, communication"
"manager, sales & marketing (property developer)",management
intern - store development & visual merchandiser,communication
cnc process engineer,"management, project management"
medical sales representative,"excel, communication"
senior software developer (c# .net),"sql, azure, docker"
finance manager,"data analysis, management"
storekeeper,aws
kitchen cabinet installer team leader,
"operation executive (malaysia, kl, penang)","excel, communication"
my collector,"excel, management"
audit semi-senior / senior,
sales leader,management
assembly technician,
hr & general affairs manager,"excel, communication, management, aws"
senior project engineer,"excel, communication, management, project management"
maintenance technician (plastic welding),excel
up rm3500/month !! debt recovery executive | incentives + allowances,"excel, communication"
graphic designer,communication
program leader,"excel, communication, management"
enterprise architect (healthcare),"sql, excel, communication, azure"
devops engineer,"sql, excel, communication, management, aws, azure"
walk-in interview : chef de partie,"communication, management"
it support,"communication, management"
air conditioning technician (senior / junior),excel
senior marketing executive,"excel, management"
welder mig / tig,
senior/staff r&d test engineer,communication
sales executive,"excel, management"
plastic welder,
walk-in interview: staff nurse (all disciplines),
patient advisor,communication
senior logistics & warehouse manager (asrs),"excel, management"
customer service executive,communication
welder,
assembly supervisor,
site supervisor,
production scheduler,communication
maintenance technician,
client support officer – fund admin (12 months contract),"excel, communication, management"
marketing executive,excel
junior assembly technician,
cnc maintenance technician,aws
wireman (pw4),"excel, communication"
sales leader (shah alam),management
admin assistant / executive (masai - johor),"excel, management"
senior accounts executive,"excel, communication"
technical sales manager,
industrial engineering technician,
assistant manager of central kitchen production,management
intern cnc machinist,
machining supervisor (cnc),
live host (english speaker),excel
pemandu lori,
senior car technician mechanic automotive / foreman mekanik workshop,
finance business partner/ controller,"communication, management"
"executive / senior executive , marketing",management
customer success cum business process executive,"excel, communication, management"
"executive, administration (sales)","excel, communication, management"
field service engineer (fse),
junior/senior audit & tax associate,"excel, communication"
sales consultant (property development),management
project manager / clerk of works (m&e),
cnc machinist,
qa technician,aws
senior software engineer,"excel, communication"
sales executive - optical brand,
personal assistant,"excel, communication, management"
quality control technician,"data analysis, communication"
full stack tech lead (angular & .net),"sql, excel, communication, azure"
electrical technician,excel
sales executive,"excel, management"
"assistant manager, optics infrastructure development",management
it helpdesk specialist (id: 687611),"management, project management"
marketing executive,"communication, management, project management"
sa fullstack .net angular (health care),"python, java, sql, excel, communication, management, aws, azure, docker"
admin clerk,excel
sales engineer,communication
human resources,management
senior quantity surveyor / contract executive,"excel, communication, management"
senior angular developer,"sql, management, project management"
senior account executive,"excel, management"
trained caregiver,communication
educator / teacher,
senior financial analyst,"excel, data analysis, communication, management"
customer service executive (mandarin & english),excel
"executive, business analyst","sql, excel, communication"
intern (hr admin/ finance/technical sales/scm/ quality/ production),"excel, communication, management"
sales & marketing senior manager/gm - property developer (based in setapak),management
regional hr assistant (internship based at pj),aws
loan compliance & project finance manager,management
sales - executive,"excel, communication, management"
senior graphic designer,communication
senior project manager - chinese,"excel, communication, management, project management"
tax associate,communication
sales executive,"excel, communication"
quote engineer,communication
warehouse manager,"excel, management"
site safety supervisor,communication
senior/it business systems analyst,"sql, excel, management"
internship - event operations/ administration,communication
senior talent acquisition specialist,"excel, communication"
sales executive,"excel, communication, management"
"executive, digital marketing","excel, communication"
facilities technician,management
qa/qc manager,"excel, management"
"senior executive - contract logistics/scm, engineering & automation","python, sql, excel, data analysis, communication, management, project management"
site reliability engineer (sre),"communication, management, aws, azure"
master data management junior specialist - internal finance team,excel
warehouse admin / assitant,"excel, communication"
branch manager,"excel, communication, management"
finance,"sql, management, aws"
network support engineer (oss),"excel, communication"
walk-in interview : demi chef,
admin assistant,"excel, communication, management"
financial analyst / business controller,management
business development executive,"excel, communication, management"
building maintenance technician,"excel, management"
engineer - plant and process,management
purchasing executive,
corporate finance senior associate / associate (cfd2),communication
clerk of work,
project manager,"communication, management"
accounts executive,"sql, excel, communication, management"
restaurant service crew,excel
it manager,"management, aws, azure"
qc assistant,
customer service representatives,management
"executive, landscape","excel, management, project management"
management associate - operations,"excel, communication, management"
walk-in interview : patient care assistant,
social content creator & videographer,
special need teacher,"excel, communication"
chief sales officer (to be based in selangor or melaka),"communication, management"
account executive,communication
sales & marketing executive,"communication, management"
m & e engineer,"excel, communication, management, project management"
hr executive/assistant/ internship,"management, aws"
accountant,"excel, communication, management"
hong kong (asean) financial controller,excel
nurse manager (operating theatre),statistics
business development manager,"excel, communication, management"
senior marketing executive,communication
ptp accountant,"excel, communication"
cnc milling programmer,
e-commerce manager (mandarin speaker),"communication, management"
bridge engineer / senior bridge engineer,management
intern multimedia,"excel, communication, management"
group accountant,"communication, management"
site supervisor // project coordinator,
field application engineer,"excel, communication, management"
service advisor,"excel, communication"
validation engineer,
"avp, business development","excel, communication"
admin assistant - talent acquisition,"excel, communication, management"
graphic designer,management
production executive,management
accounts manager/ accountant,"excel, communication, management"
jr. quantity surveyor,
ecommerce executive,"excel, communication, management"
packer,communication
retail associate (haircare) | genting highlands,excel
senior finance manager,excel
tiktok live host 拆卡主播,communication
walk-in interview : clinic assistant,
"senior executive, actuarial",statistics
warehouse assistant,communication
"senior executive, branch reporting","excel, communication"
project management office,"excel, data analysis, communication, management, project management"
sap abap programmer,
operator packing,communication
retail executive,"excel, communication"
technical support engineer 2 (japanese speaking),"excel, communication"
senior merchant service executive ( penang),"excel, communication"
walk-in interview : cssd technician,management
restaurant manager,"excel, communication, management"
sports advisor full time (decathlon connect aeon cheras),
laundry manager,
"[mass hiring] livestreamers/content creators - klcc (epf, socso, eis)",
sales support coordinator,"excel, communication"
packing crew,communication
production planning executive,excel
infrastructure design engineer,"communication, management, project management"
senior account executive / account executive,communication
tiktok live host,communication
sales executive,
sports advisor part time (decathlon connect aeon cheras),communication
admin clerk,
production assistant,communication
account senior executive,communication
operations supervisor,
automation engineer,"excel, communication"
admin (full time),
retail assistant,communication
accounts executive,management
medical assistant/staff nurse,
safety crew,
it software project manager cum business analyst,"communication, management, project management"
account cum admin executive,sql
office admin,"sql, excel"
accounts assistant,
sales & marketing executive,"communication, management"
aesthetic medical assistant,"excel, communication"
test manager,"communication, management"
machine operator,
customer service officer (1 year contract) nov intake,management
fraud & risk specialist,"excel, communication"
"creative content executive , digital content executive , social media planner","excel, communication, management"
quantity surveyor,
director of sales & marketing,management
receptionist,"excel, communication"
talent development manager,"excel, communication, management"
junior sales executive (cloud applications),"excel, communication"
secretarial administrator (professional society),"excel, communication, management"
key account manager,"excel, communication, management"
paralegal / legal officer,"excel, communication, aws"
"engineer, research & development",
m&e project engineer,"excel, communication, management, project management"
marketing content writer / copywriter,"excel, communication"
sales advisor,"excel, communication"
site supervisor,management
personal assistant to ceo,"excel, communication"
"buyer cum planner, based in penang (prai)",management
manulife asia lead program – management associate 2026 intake - malaysia,"communication, management, aws"
"associate / sr associate, customer support","excel, communication, management"
assistant manager security & safety,management
sales advisor,excel
account executive - sales (penang),"communication, management"
data protection & compliance executive,"excel, communication, management"
welder,
instructional assistant - elementary school (contract),communication
"senior manager business development (subsea, irm and t&i)","excel, communication, management"
sales consultant (full-time),"communication, management"
sales & marketing executive,"excel, communication"
telesales customer service - english speaker (nov intake),"excel, communication"
immediate hiring! – 10x supervisor retail (multiple brands to choose from),"communication, management"
front office manager,"excel, communication, management"
accounts executive / manager,"sql, communication, management"
medical sales representative_kedah,
junior / senior quantity surveyor,"excel, communication, management"
human resource and admin exec,"management, aws"
sales assistant mis & receiving (village grocer empire city) (opening soon),
sales assistant_cashier (village grocer empire city) (opening soon),"excel, management"
application and integrations software engineer,"python, excel, communication, management, azure"
juruteknik (elektrik),excel
senior frontend developer,"java, communication, management, project management"
qms manager,"excel, management"
content creator (full-time),
mrb coordinator (qa ),"excel, communication"
brand ambassador - ev car industry,management
human resources assistant,"sql, communication, aws"
account cum admin,management
manufacturing engineer,excel
20x full time sport retail sales assistant (sportswear) | multiple locations !,"excel, communication"
audit semi senior / audit senior,excel
digital marketing executive,"communication, management"
carpenter - furniture industry,
mechanical design engineer,"excel, communication, management, aws"
reservation assistant,"statistics, communication, management"
tax manager,management
account assistant,"sql, excel"
sales and marketing senior manager,"excel, communication"
legal intern,"excel, communication, management"
customer solutions executive (fully remote / wfh),excel
outbound business development (malaysia),excel
customer service / sales coordinator,"excel, communication"
material controller/ documents controller,communication
section head - autoline,"excel, communication, management"
"senior executive, it",
carpenter,
senior project executive (development),management
product development officer (transaction banking),management
stamping (metal) tooling r&d designer,
supply chain/logistics intern,"excel, communication, management"
night shift admin - banking industry,excel
finance cum admin,"excel, management"
engineer - production,management
forwarding officer (5days/molek),management
"executive, finance (ar)",communication
long term part time receptionist - daily rate,communication
sales executive,excel
senior electrical engineer,excel
"internal controls manager, apac","communication, management"
senior global supply chain planner,"communication, management"
"senior executive, corporate secretarial",management
"executive, corporate secretarial",management
operation executive,"excel, communication, management"
"executive, investment (business development)",management
contract executive,"excel, communication"
"expertcare product & sales specialist iii, apac","excel, communication"
customer service specialist (livechat - english speaker),"excel, communication"
human resources manager,"excel, communication, management, aws"
theme park assistant – photographing team,communication
